z_seed,hp_seed,pre_mle_cost,post_mle_cost,train_nrmse,test_nrmse,train_nlpd,test_nlpd,iters,best_iter,opt_time,result_file
137,1234,0.02506225,0.014810649,5.497423932,6.626435369,-0.213733524,-0.413802683,1050,1050,23.7154167,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-1234.json
182,1,0.032157794,0.022074552,9.505984932,8.63115415,-0.75231868,-0.698191524,1050,1050,23.3047679,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-1.json
182,10,0.140044153,0.035401646,4.155652598,3.873672336,-1.858458996,-2.23242259,4900,4900,33.6143279,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-10.json
182,46,0.066539757,0.072652996,3.272761405,2.945561334,-1.983687997,-2.579270363,1700,1700,25.2228698,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-46.json
182,91,0.075717025,0.042567421,6.597169489,5.512889102,1.426267028,1.589403391,1550,1550,24.4961461,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-91.json
182,137,0.106353834,0.013061498,6.604167074,6.543435156,-0.287589222,-0.432793677,2150,2150,25.7844072,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-137.json
182,182,0.913171172,0.015353759,4.071341455,3.957459703,-0.854045808,-1.375968933,3400,3400,29.564657,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-182.json
182,227,0.065718748,0.044940855,4.829372093,4.602552205,1.712207079,0.181797534,6150,6150,37.3571197,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-227.json
182,273,0.038813293,0.015214819,2.81428583,2.469949052,-3.190058947,-3.345897675,1050,1050,24.8118599,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-273.json
182,318,0.063467294,0.014924759,8.492831886,8.605384082,-0.352977961,-0.281473905,10850,10850,51.1282224,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-318.json
182,363,0.030898096,0.01565527,4.428263754,5.018872023,-0.422428459,-0.46759358,1050,1050,24.7432362,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-363.json
182,409,0.044513009,0.014925941,6.355528533,6.064339355,-0.223032475,-0.49335137,1050,1050,23.9339888,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-409.json
182,454,0.113432266,0.013781537,8.35192427,8.656848967,-1.572973967,-1.598553061,9850,9850,48.5055427,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-454.json
182,500,0.058839984,0.018511504,2.78275013,2.363881096,-1.48680222,-1.550699949,2900,2900,28.6752206,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-500.json
182,1234,0.02505414,0.015767027,6.113579124,7.382157445,-0.294530809,-0.388615638,1050,1050,23.943973,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-182_seed_hp-1234.json
